Frame,10sds.csv_Upright_Rate,50sds.csv_Upright_Rate,100sds.csv_Upright_Rate,200sds.csv_Upright_Rate
0,0.8,0.96,0.85,0.63
1,0.8,0.82,0.8,0.735
2,0.9,0.62,0.73,0.685
3,0.8,0.72,0.75,0.66
4,0.6,0.68,0.73,0.695
5,0.6,0.66,0.7,0.68
6,0.6,0.6,0.74,0.725
7,0.7,0.72,0.69,0.735
8,0.5,0.58,0.71,0.725
9,0.7,0.5,0.64,0.69
10,0.5,0.56,0.71,0.645
11,0.6,0.54,0.7,0.66
12,0.5,0.56,0.69,0.75
13,0.4,0.48,0.65,0.725
14,0.6,0.6,0.62,0.69
15,0.5,0.4,0.65,0.72
16,0.5,0.5,0.6,0.725
17,0.5,0.56,0.65,0.7
18,0.5,0.5,0.67,0.74
19,0.5,0.44,0.59,0.68
20,0.4,0.56,0.72,0.68
21,0.6,0.6,0.65,0.71
22,0.4,0.38,0.62,0.69
23,0.3,0.5,0.66,0.67
24,0.3,0.56,0.63,0.655
25,0.3,0.42,0.68,0.71
26,0.5,0.36,0.6,0.67
27,0.4,0.32,0.66,0.685
28,0.5,0.46,0.65,0.68
29,0.4,0.42,0.66,0.695
30,0.4,0.34,0.62,0.63
31,0.3,0.44,0.68,0.62
32,0.5,0.34,0.66,0.645
33,0.4,0.46,0.62,0.615
34,0.4,0.36,0.69,0.675
35,0.4,0.56,0.74,0.65
36,0.5,0.44,0.64,0.62
37,0.4,0.48,0.59,0.655
38,0.3,0.4,0.7,0.67
39,0.3,0.38,0.68,0.65
40,0.3,0.46,0.64,0.63
41,0.2,0.4,0.58,0.7
42,0.3,0.44,0.69,0.595
43,0.5,0.42,0.65,0.62
44,0.3,0.46,0.58,0.66
45,0.2,0.36,0.58,0.655
46,0.4,0.4,0.62,0.61
47,0.4,0.34,0.62,0.645
48,0.4,0.44,0.51,0.65
49,0.6,0.38,0.61,0.62
50,0.4,0.54,0.64,0.675
51,0.2,0.42,0.65,0.61
52,0.2,0.34,0.67,0.66
53,0.4,0.38,0.67,0.675
54,0.2,0.48,0.65,0.655
55,0.1,0.44,0.7,0.665
56,0.4,0.56,0.69,0.635
