Frame,10nia.csv_Upright_Rate,50nia.csv_Upright_Rate,100nia.csv_Upright_Rate,200nia.csv_Upright_Rate
0,0.4,0.94,0.91,0.89
1,0.5,0.74,0.7,0.72
2,0.4,0.76,0.62,0.655
3,0.6,0.72,0.69,0.68
4,0.5,0.8,0.76,0.72
5,0.6,0.64,0.75,0.71
6,0.4,0.78,0.71,0.705
7,0.5,0.76,0.72,0.675
8,0.6,0.72,0.71,0.68
9,0.3,0.58,0.72,0.725
10,0.1,0.62,0.72,0.67
11,0.3,0.6,0.61,0.72
12,0.5,0.72,0.67,0.71
13,0.4,0.56,0.64,0.675
14,0.3,0.58,0.7,0.64
15,0.4,0.64,0.67,0.635
16,0.3,0.76,0.6,0.685
17,0.4,0.66,0.64,0.695
18,0.4,0.62,0.7,0.695
19,0.6,0.6,0.71,0.675
20,0.2,0.5,0.69,0.635
21,0.3,0.64,0.66,0.62
22,0.3,0.6,0.67,0.685
23,0.3,0.6,0.66,0.68
24,0.5,0.52,0.71,0.62
25,0.5,0.62,0.68,0.645
26,0.6,0.62,0.66,0.675
27,0.6,0.64,0.63,0.665
28,0.6,0.56,0.67,0.665
29,0.5,0.56,0.66,0.635
30,0.7,0.42,0.64,0.65
31,0.4,0.52,0.55,0.615
32,0.2,0.46,0.64,0.605
33,0.3,0.56,0.54,0.62
34,0.7,0.62,0.61,0.63
35,0.7,0.62,0.58,0.645
36,0.7,0.48,0.6,0.63
37,0.7,0.48,0.52,0.66
38,0.4,0.52,0.64,0.68
39,0.6,0.6,0.66,0.625
40,0.7,0.54,0.62,0.67
41,0.7,0.54,0.64,0.635
42,0.6,0.5,0.63,0.61
43,0.6,0.38,0.66,0.65
44,0.8,0.64,0.64,0.63
45,0.6,0.66,0.63,0.705
46,0.5,0.52,0.63,0.715
47,0.6,0.48,0.64,0.665
48,0.6,0.44,0.68,0.665
49,0.4,0.44,0.59,0.665
50,0.7,0.56,0.64,0.67
51,0.6,0.54,0.64,0.665
52,0.7,0.52,0.61,0.68
53,0.8,0.58,0.68,0.625
